product_name,campaign_name,ad_spend,impressions,clicks,cpc,ctr,conversions,conversion_rate,roas
Wireless Headphones Pro,Summer Sale 2024,15000,150000,4500,3.33,3.0,450,10.0,5.2
Smart Watch Series X,Tech Launch Campaign,22000,200000,6000,3.67,3.0,600,10.0,4.8
Gaming Laptop Ultra,Gaming Week Promo,35000,120000,3600,9.72,3.0,180,5.0,6.2
Bluetooth Speaker Mini,Holiday Special,8000,80000,2400,3.33,3.0,240,10.0,3.8
Fitness Tracker Pro,New Year Fitness,12000,100000,3000,4.0,3.0,300,10.0,4.5
Tablet Pro Max,Back to School,18000,160000,4800,3.75,3.0,480,10.0,5.0
Wireless Mouse Elite,Office Essentials,5000,50000,1500,3.33,3.0,150,10.0,4.2
Mechanical Keyboard,Gamer's Choice,7500,75000,2250,3.33,3.0,225,10.0,3.9
USB-C Hub Premium,Tech Accessories,4000,40000,1200,3.33,3.0,120,10.0,3.5
Power Bank Max,Mobile Power,6000,60000,1800,3.33,3.0,180,10.0,4.1
